	DocName	Text	Agitation	Anger	Fear	Joy	Love	Sadness	Context	ID	label
8052	Tiefste Qual Conradi, Hermann l0040092	"verweht von deines Schmerzes Riesenflammen.
Du sinnst und sinnst... in tollen Takten fliegt
dein Puls — — als müßtest du den Fluch verdammen,"	0.0	1.0	0.0	0.0	0.0	1.0	"Tiefste Qual
Conradi, Hermann Hast du des Daseins tiefste Qual empfunden?
Kam über dich einmal der wilde Schmerz,
der zu dir schreit aus deiner Seele Wunden? Es krampft sich in Titanenweh das Herz,
vom Daseinsekel angepackt, zusammen,
und von der Lippe stiehlt sich Hohn und Scherz, verweht von deines Schmerzes Riesenflammen.
Du sinnst und sinnst... in tollen Takten fliegt
dein Puls — — als müßtest du den Fluch verdammen,"	l0040092	ANGER#SADNESS
6979	Das letzte Lied Lindner, Anton l00170152	"Im bleichen Lichte krümmt sich die Chaussee
So müde zwischen weißen Meilensteinen,
In Pappelkronen flüstert Winterweh..
Und bei dem Teiche, wo die Weiden weinen,
Zittert ein Sensenlied, zittert und stirbt."	0.0	0.0	0.0	0.0	0.0	1.0	"Das letzte Lied
Lindner, Anton Die Sonne schläft, der Sommer geht zur Ruh,
Schon schwätzt der Kieselbach, die Räder rauschen;
Die Sehnsucht schließt die großen Augen zu,
Schläft lächelnd ein.. Dort, wo die Wälder lauschen,
Zittert ein Sensenlied, zittert und stirbt. Im bleichen Lichte krümmt sich die Chaussee
So müde zwischen weißen Meilensteinen,
In Pappelkronen flüstert Winterweh..
Und bei dem Teiche, wo die Weiden weinen,
Zittert ein Sensenlied, zittert und stirbt."	l00170152	SADNESS
3056	Der April und die Sonne Meyern-Hohenberg, Gustav von [alt. Meyern, Gustav von]	"Und als sie besorgt den Mai entbot,
Den trotzigen Bruder zu erbitten,
Da fand der Mai den Bruder todt,
Am Herzleid hatt' er ausgelitten!"	1.0	0.0	0.0	0.0	0.0	1.0	"O weh, jetzt war er in ihrer Gewalt,
Und grausam begann sie mit ihm zu scherzen,
Denn plötzlich blickt sie so kalt, so kalt,
Daß der junge Trieb ihm erstarrt im Herzen. „Was hab' ich begangen? wie that ich ihr weh?“
So fragt er betäubt. Du Ärmster, mit nichten!
Brauchst hinter die Wolken dort nur, in der Höh',
Zu neuem Entzücken die Blicke zu richten! Und wahrlich, siehe, noch halb versteckt,
Aufs Neue glänzet die Falsche wieder,
Und reizt ihn mehr und mehr und weckt
Und tödtet die junge Liebe wieder. Da endlich hat er ihr Spiel durchschaut:
„Dein Herz ist Eis und Trug dein Schimmer —
So ruft er in der Verzweiflung laut —
Wohlan, so flieh' ich dich auf immer!“ Und ob sie noch so hold ihn lockt,
Er hüllt sich in des Vaters Erbe,
Den Wintermantel, schneeumflockt,
Und schwört, zu frieren bis er sterbe. Und als sie besorgt den Mai entbot,
Den trotzigen Bruder zu erbitten,
Da fand der Mai den Bruder todt,
Am Herzleid hatt' er ausgelitten!"	l0080362	AGITATION#SADNESS
6195	Tief im Schoosse der Gewässer ruhet das versunkne Bild Ziel, Ernst	"Ehemals auf hohem Sockel ragte es am sonngen Strand,
Doch die Zeit ergriff es neidisch, warf es in des Meeres Sand."	0.0	1.0	0.0	0.0	0.0	0.0	"Tief im Schoosse der Gewässer ruhet das versunkne Bild
Ziel, Ernst Tief im Schoosse der Gewässer ruhet das versunkne Bild,
Dehnt die weissen Marmorglieder durch das grüne Meergefild. Ehemals auf hohem Sockel ragte es am sonngen Strand,
Doch die Zeit ergriff es neidisch, warf es in des Meeres Sand."	l00160329	ANGER
4827	Sommerlieder Stern, Adolf	"Wohl regen sich, wenn der Frühling wirbt,
Gefühle noch und Triebe —
Ein eisiger Windhauch — Alles stirbt —
Nirgend Kraft und Liebe!"	1.0	0.0	0.0	0.0	1.0	1.0	"Vom Himmel warmer, goldner Strahl,
Südlichblau die Wellen,
Tiefgrünes Laub durchrauscht das Thal,
Glühende Rosen schwellen! Es drängen sich, im Strahl gereift,
Rings die Halme zu Garben,
So weit das Auge spähend schweift.
Volle Formen und Farben! Zu Blumen schuf des Sommers Gruß
All die Knospen und Blüthen,
Er küßte sie mit glüh'ndem Kuß,
Bis sie selbst erglühten! Laßt ruhen mich in Sommers Zelt,
Daß ich künde und sage:
Es fehlen heut der Menschenwelt
Eben die Sommertage! Ein kurzer Lenz — und Winter dann;
Ein flüchtig laues Beben,
Und eisig tritt der Tod heran —
Nirgend Gluth und Leben! Wohl regen sich, wenn der Frühling wirbt,
Gefühle noch und Triebe —
Ein eisiger Windhauch — Alles stirbt —
Nirgend Kraft und Liebe!"	l0080530	AGITATION#LOVE#SADNESS
2717	Motto Heine, Heinrich	"Frau Unglück hat im Gegentheile
Dich liebefest ans Herz gedrückt;
Sie sagt, sie habe keine Eile,
Setzt sich zu dir ans Bett und strickt."	0.0	0.0	0.0	1.0	1.0	1.0	"Motto
Heine, Heinrich Das Glück ist eine leichte Dirne,
Und weilt nicht gern am selben Ort;
Sie streicht das Haar dir von der Stirne
Und küßt dich rasch und flattert fort. Frau Unglück hat im Gegentheile
Dich liebefest ans Herz gedrückt;
Sie sagt, sie habe keine Eile,
Setzt sich zu dir ans Bett und strickt."	l0080237	JOY#LOVE#SADNESS
1471	ICH FLAMME DAS GASLICHT AN … ERNST WILHELM LOTZ l00300088	"Und versinke in eisdurchwehte Nächte.
Und weiß, der Tod reckt unten seine Arme aus. –
Doch über mich hin fährt ein Gebraus
Springender Hufen und Leiber und sonnhafter Prächte und Mächte!"	0.0	0.0	0.0	0.0	0.0	0.0	"ICH FLAMME DAS GASLICHT AN … Ich flamme das Gaslicht an.
Aufrollendes Staunen umprallt die vier Zimmerwände.
Ich fühle mich dünn in der Mitte stehn,
Verkrampft in Taschen klein meine Hände,
Und muß dies alles sehn: Die Mauern bauchen aus, von Dröhnen geschwellt:
Die Tafeln von Jahrtausend-Meistern dröhnen in ihren Flanken,
Von Halleluja-Geistern hinziehend musizierende Gedanken!
Ich erblicke mich schwimmend klein da hinein gestellt
Mit winzigem Stöhnen und Krampf
Vor solchem wogenhaft wuchtenden Tönen
Und solchem siegsicher schwingenden Wolkenkampf! O so Gott zwingende Werke!
Ein spitzer Pinselstrich zerstiebt mich blind
Mit machtheiterm Wind und lässiger Stärke! Meine Brust empört sich über dies brausende Sein.
Tief ziehe ich die Luft der Wände ein
– Diese Flut, diese Glut! –
Und stoße sie aus mir mit Husten und Speien:
Blut! Blut! Und versinke in eisdurchwehte Nächte.
Und weiß, der Tod reckt unten seine Arme aus. –
Doch über mich hin fährt ein Gebraus
Springender Hufen und Leiber und sonnhafter Prächte und Mächte!"	l00300088	NONE
1467	ICH FLAMME DAS GASLICHT AN … ERNST WILHELM LOTZ l00300088	"Ich flamme das Gaslicht an.
Aufrollendes Staunen umprallt die vier Zimmerwände.
Ich fühle mich dünn in der Mitte stehn,
Verkrampft in Taschen klein meine Hände,
Und muß dies alles sehn:"	1.0	0.0	0.0	0.0	0.0	1.0	"ICH FLAMME DAS GASLICHT AN … Ich flamme das Gaslicht an.
Aufrollendes Staunen umprallt die vier Zimmerwände.
Ich fühle mich dünn in der Mitte stehn,
Verkrampft in Taschen klein meine Hände,
Und muß dies alles sehn:"	l00300088	AGITATION#SADNESS
4144	Blitzzug und Leichenzug Peschier, Eugène	"Er jagt dahin durch blüh'nde Auen,
Aufzuckend, wie ein roter Blitz. —
Mir faßt das Herz ein tiefes Grauen
Doch ob des Schicksals schnöden Witz —
Der Wandrer, der auf letzter Straße
Sich sehnet nach des Grabes Rast,
Muß warten, daß vorüberwehe
Des Lebens ungestüme Hast!"	1.0	0.0	1.0	0.0	1.0	0.0	"Blitzzug und Leichenzug
Peschier, Eugène Es zieht, von schwarzem Flor umhangen,
Ein stiller Leichenzug heran,
Zum letzten Gruß die Glocken klangen
Vom Heimatdorf dem müden Mann —
Da plötzlich an dem Meilensteine
Hält er wie festgewurzelt still,
Es naht mit blutigrotem Scheine
Der Eilzug mit dem Mahnruf schrill — Er jagt dahin durch blüh'nde Auen,
Aufzuckend, wie ein roter Blitz. —
Mir faßt das Herz ein tiefes Grauen
Doch ob des Schicksals schnöden Witz —
Der Wandrer, der auf letzter Straße
Sich sehnet nach des Grabes Rast,
Muß warten, daß vorüberwehe
Des Lebens ungestüme Hast!"	l0010249	AGITATION#FEAR#LOVE
2246	Liebesnacht Greif, Martin	"„O weile, süsser Geliebter!
Es trügt dich nur,
Noch hellt, nur wolkengetrübter,
Der Mond die Flur.“"	0.0	0.0	0.0	0.0	0.0	0.0	"Liebesnacht
Greif, Martin „O weile, süsser Geliebter!
Es trügt dich nur,
Noch hellt, nur wolkengetrübter,
Der Mond die Flur.“"	l00160084	NONE
