	DocName	Text	Agitation	Anger	Fear	Joy	Love	Sadness	Context	ID	label
115	An Emma Frapan, Ilse	"O Freundesliebe, die du sanft und groß
Mein Leben hast durchleuchtet und getragen,
Verlaß mich nicht, nimm mich in deinen Schoß,
Und mach' mich still wie in den alten Tagen."	0.0	0.0	0.0	0.0	1.0	0.0	"An Emma
Frapan, Ilse Wie grüßt du schon von ferne, helles Fenster,
Mein müdes Aug' mit deinem trauten Scheine,
In kalter Nacht ein warmer Liebesschimmer.
Ich weiß, dort oben hat die liebe Kleine,
Zur Abwehr aller Schatten und Gespenster,
Die Lampe schon entfacht im stillen Zimmer. O leuchte du mir immer,
Mein sanftes Licht!
Für tausend Freudenkerzen
Tausch' ich dich nicht!
Für alle Menschenherzen
Dies eine nicht! O Freundesliebe, die du sanft und groß
Mein Leben hast durchleuchtet und getragen,
Verlaß mich nicht, nimm mich in deinen Schoß,
Und mach' mich still wie in den alten Tagen."	l00140125	LOVE
2476	Des Kaisers Traum Gerhardt, Dagobert von [Pseud. Amyntor, Gerhard von]	"Der Schemen schwindet, und des Lämpchens Schein
Erlischt; doch hold verklärt ein strahlend Lächeln
Des Träumers Antlitz, der sich noch allein
In finstrer Höhle wähnt. — Ein frisches Fächeln
Geht draußen durch den Park; der Nebel sinkt;
Der Vögel Jubelchor die Sonne feiert;
Demantenhell der Havel Spiegel blinkt,
Und Fahrlands Forst bei Sakrow steht entschleiert."	1.0	0.0	0.0	1.0	0.0	0.0	"Denn jenes Münsters nationales Werk
Erzählt, was Deutschlands ein'ge Stämme schufen;
Es überhöht Ägyptens Gräberberg,
Der Cheops-Pyramide Schwindelstufen.
Hoch ragt Sankt Peters Kuppelbau in Rom,
Und Rom sah lang' die Welt zu Füßen liegen,
Doch höher ragt zu Köln der deutsche Dom,
Und deutscher Geist wird einst die Welt besiegen. Und nun, mein Fürst, den letzten Wunsch erfahrt,
Der noch mich bannt aus der Entschlaf'nen Reihen:
All Deutschland rüstet sich zur Pilgerfahrt
Nach Köln am Rhein, der Türme Knauf zu weihen;
Gebt diesem Fest durch Eure Gegenwart
Die wahre Deutung! rüstet Euch zur Reise!
Der deutsche Dom des deutschen Kaisers harrt —
Den Schlußstein fügt auf kaiserliche Weise!“ — Der Rotbart schweigt; der Held im weißen Bart
Ruft: „Diesen Wunsch will freudig ich erfüllen!
Der Kaiser darf beim Feste einz'ger Art
Sein Angesicht dem Volke nicht verhüllen.
Schürt blinder Eifer auch noch manchen Brand,
Und schleppt der Wahn zum Brande dürre Reiser,
Doch stehn die Besten all' im Vaterland
Ohn' Unterschied des Glaubens um den Kaiser.“ — „Habt Dank, mein Held! Und was ich künde jetzt,
Es ist Prophetenwort und wird geschehen:
Nach tausend Jahren noch wird unverletzt
Der deutschen Einheit Kathedrale stehen!
Nach tausend Jahren wird zum Jubelfest
Des Doms ein Sproß von Eurem Stamme wallen,
Und weil sich deutsche Treu nicht brechen läßt,
Wird Gott und ihm ein Lobgesang erschallen! Des Morgenlandes Weise sprach die Gunst
Der Kirche heilig: so spricht uns und Euern
Gekrönten Bruder heilig einst die Kunst,
Und unsre Namen wird der Ruhm verteuern;
Des Doms Begründer und das Fürstenpaar,
Das ihn gefördert und zum Ziel geführet,
Als Dreigestirn sie leuchten immerdar,
So lang' ein Menschenwerk die Herzen rühret!“ — Der Schemen schwindet, und des Lämpchens Schein
Erlischt; doch hold verklärt ein strahlend Lächeln
Des Träumers Antlitz, der sich noch allein
In finstrer Höhle wähnt. — Ein frisches Fächeln
Geht draußen durch den Park; der Nebel sinkt;
Der Vögel Jubelchor die Sonne feiert;
Demantenhell der Havel Spiegel blinkt,
Und Fahrlands Forst bei Sakrow steht entschleiert."	l00130020	AGITATION#JOY
4907	Die zerfallene Kirche Kalbeck, Max	"Von Rosenkelchen fielen die Blätter ab,
Wie lichte Thränen auf ein geliebtes Grab,
Und hoch aus den verfallnen Chören
Senkten sich Gräser zu Trauerflören."	0.0	0.0	1.0	0.0	1.0	1.0	"Die zerfallene Kirche
Kalbeck, Max Was weiß die Welt von deiner geheimen Pracht,
Zerfallne Kirche, tief in des Waldes Nacht?
Entzückt sah ich dich vor mir liegen,
Als ich hinunter in's Thal gestiegen. Andächt'gen Sinnes schritt ich in dein Portal,
Geführt vom sonnengoldigen Abendstrahl,
Der deine gothisch ernsten Bogen
Prächtig mit Gold und Purpur bezogen. Zu rothen Gluthen war der Altar entflammt,
Gehalten ward ein feierlich Seelenamt
Dem Frühling, welcher in die Lüfte
Sterbend verhauchte die letzten Düfte. Der Wind durchrauschte rings die Gebüsche all',
Das klang wie mächtig brausender Orgelschall!
Und blaue Blumen, tief erschrocken,
Schwangen die zitternden Blüthenglocken. Von Rosenkelchen fielen die Blätter ab,
Wie lichte Thränen auf ein geliebtes Grab,
Und hoch aus den verfallnen Chören
Senkten sich Gräser zu Trauerflören."	l00200341	FEAR#LOVE#SADNESS
47	Lieder an Liane Hoechstetter, Sophie	"Du sollst an meiner Mutter stillem Herd
Die alten lieben, guten Worte hören,
Die alten Worte, die das Herz betören:
Von Heimatglück, von fernen Zeiten,
Von müden, lang erblaßten Leiden,
Die uns noch rühren."	0.0	0.0	0.0	1.0	0.0	1.0	"Ich wollte einmal dich in meiner Heimat grüßen,
Ich wollte einmal, daß zu deinen Füßen
Die Wege ziehen, die mir lang vertraut.
Ich wollte, daß mein stilles Land dir brächte
Sein tiefes Sehnen, seine hellen Nächte
Und du es sähest, wie ich es geschaut. Ich wollte einmal deine Lippen küssen —
Ich wollte einmal deine lieben, süßen,
Geliebten Augen auf mir ruhen sehn —
Ich wollte einmal — einmal nur dir sagen,
Wie lang dein Bild im Herzen ich getragen,
Und wie es ruht dort bis zum Untergehn. Dann aber? O ich weiß nicht, was noch wäre,
Still ruht die Sehnsucht, — ankerstill im Meere
Fragst du den Beter, was er noch begehrt,
Wenn ihm sein Gott die Seligkeit gewährt?
Fragst du den Schiffer, der den Hafen sieht,
Ob noch ein Wunsch durch seine Seele zieht? Ich wollte einmal deine Lippen küssen,
Ich wollte dich in meinem Hause grüßen —
Einmal mit dir allein sein — fern vom Leben.
Ich wollte einmal dir in erstem Schweigen
Die Heimat und mich selbst ganz dir zu eigen
Bedingungslos in deine Hände geben. Du sollst in meiner Mutter schönstem Bett
So ruhig schlafen, bis du nicht mehr müd' —
Und wenn dir dann der junge Tag erglüht,
Wird er dich wecken aus dem Traum der Nacht,
Daß dir erwacht
Der schönere Traum des Lebens. Du sollst an meiner Mutter stillem Herd
Die alten lieben, guten Worte hören,
Die alten Worte, die das Herz betören:
Von Heimatglück, von fernen Zeiten,
Von müden, lang erblaßten Leiden,
Die uns noch rühren."	l00140053	JOY#SADNESS
7746	Was geht das fremde Lied mich an Ritter, Anna l0040523	"Ich weiß nicht, was mir gar so bang
heut in die Kammer schallte —
ein Vöglein sang vor Tau und Tag.
vor Tau und Tag im Walde."	0.0	0.0	1.0	0.0	0.0	0.0	"Was geht das fremde Lied mich an
Ritter, Anna Ich weiß nicht, was mir gar so bang
heut in die Kammer schallte —
ein Vöglein sang vor Tau und Tag.
vor Tau und Tag im Walde."	l0040523	FEAR
2717	Motto Heine, Heinrich	"Frau Unglück hat im Gegentheile
Dich liebefest ans Herz gedrückt;
Sie sagt, sie habe keine Eile,
Setzt sich zu dir ans Bett und strickt."	0.0	0.0	0.0	1.0	1.0	1.0	"Motto
Heine, Heinrich Das Glück ist eine leichte Dirne,
Und weilt nicht gern am selben Ort;
Sie streicht das Haar dir von der Stirne
Und küßt dich rasch und flattert fort. Frau Unglück hat im Gegentheile
Dich liebefest ans Herz gedrückt;
Sie sagt, sie habe keine Eile,
Setzt sich zu dir ans Bett und strickt."	l0080237	JOY#LOVE#SADNESS
2773	Zur Dämmerstunde war's — Lingen, Thekla	"Sie suchte dich —
Wie dufteten die Rosen!
Und lechzend barg ich mein Gesicht hinein
Und sog die süßen, süßen Düfte ein —
Wie fühlt' ich deine Wünsche mich umkosen!"	0.0	0.0	0.0	0.0	1.0	0.0	"Zur Dämmerstunde war's —
Lingen, Thekla Zur Dämmerstunde war's,
Zur schlimmen Zeit —
Und deine Rosen dufteten im Zimmer,
Ins Fenster brach der letzte Abendschimmer —
Und meine Sehnsucht ging so weit. Sie suchte dich —
Wie dufteten die Rosen!
Und lechzend barg ich mein Gesicht hinein
Und sog die süßen, süßen Düfte ein —
Wie fühlt' ich deine Wünsche mich umkosen!"	l00170153	LOVE
7067	Wachen in der Nacht Creizenach, Theodor l0080100	"Ich fühl' in ihrer Stärk' und Schwäche
Die eigne Seele bang' und still
Und zittre, wenn des Spiegels Fläche
Mir meinen Schatten zeigen will
Beim Wachen in der Nacht."	0.0	0.0	1.0	0.0	0.0	0.0	"Wachen in der Nacht
Creizenach, Theodor Und hebt mein Geist sich in der grausen,
Geweihten Mitternacht empor,
So tönt die Luft mit leisem Sausen
Wie sanftes Beten an mein Ohr
Beim Wachen in der Nacht. Ich fühl' in ihrer Stärk' und Schwäche
Die eigne Seele bang' und still
Und zittre, wenn des Spiegels Fläche
Mir meinen Schatten zeigen will
Beim Wachen in der Nacht."	l0080100	FEAR
5812	Die Sphinx Schüler, Gustav l0040589	"Und durch die Büsche ging der gelbe Mond,
und eine Stille, in sich selbst erschrocken.
Und durch die Knospen lief ein Zittern her
auf wunderleisen, leisen seidenen Socken."	0.0	0.0	1.0	0.0	0.0	0.0	"Die Sphinx
Schüler, Gustav Und durch die Büsche ging der gelbe Mond,
und eine Stille, in sich selbst erschrocken.
Und durch die Knospen lief ein Zittern her
auf wunderleisen, leisen seidenen Socken."	l0040589	FEAR
967	Guter Rat Franke, August Hermann	"Dichtest du, sei nicht bedenklich,
Sag's, wie dir's der Gott gegeben!
Sei auch nicht zu überschwenglich,
Jedes Wort sei echtes Leben!
Wenn das Herz dir wahr entglommen,
Wenn du's frisch herausgesungen,
Wie dir's aus der Brust gekommen,
Dann ist dir ein Lied gelungen."	1.0	0.0	0.0	0.0	0.0	0.0	"Guter Rat
Franke, August Hermann Dichtest du, sei nicht bedenklich,
Sag's, wie dir's der Gott gegeben!
Sei auch nicht zu überschwenglich,
Jedes Wort sei echtes Leben!
Wenn das Herz dir wahr entglommen,
Wenn du's frisch herausgesungen,
Wie dir's aus der Brust gekommen,
Dann ist dir ein Lied gelungen."	l00130384	AGITATION
