	DocName	Text	Agitation	Anger	Fear	Joy	Love	Sadness	Context	ID	label
161	3. Meine Augen Zander, Antonie	"3. Meine Augen
Zander, Antonie"	0.0	0.0	0.0	0.0	0.0	0.0	"3. Meine Augen
Zander, Antonie"	l0020178	NONE
2476	Des Kaisers Traum Gerhardt, Dagobert von [Pseud. Amyntor, Gerhard von]	"Der Schemen schwindet, und des Lämpchens Schein
Erlischt; doch hold verklärt ein strahlend Lächeln
Des Träumers Antlitz, der sich noch allein
In finstrer Höhle wähnt. — Ein frisches Fächeln
Geht draußen durch den Park; der Nebel sinkt;
Der Vögel Jubelchor die Sonne feiert;
Demantenhell der Havel Spiegel blinkt,
Und Fahrlands Forst bei Sakrow steht entschleiert."	1.0	0.0	0.0	1.0	0.0	0.0	"Denn jenes Münsters nationales Werk
Erzählt, was Deutschlands ein'ge Stämme schufen;
Es überhöht Ägyptens Gräberberg,
Der Cheops-Pyramide Schwindelstufen.
Hoch ragt Sankt Peters Kuppelbau in Rom,
Und Rom sah lang' die Welt zu Füßen liegen,
Doch höher ragt zu Köln der deutsche Dom,
Und deutscher Geist wird einst die Welt besiegen. Und nun, mein Fürst, den letzten Wunsch erfahrt,
Der noch mich bannt aus der Entschlaf'nen Reihen:
All Deutschland rüstet sich zur Pilgerfahrt
Nach Köln am Rhein, der Türme Knauf zu weihen;
Gebt diesem Fest durch Eure Gegenwart
Die wahre Deutung! rüstet Euch zur Reise!
Der deutsche Dom des deutschen Kaisers harrt —
Den Schlußstein fügt auf kaiserliche Weise!“ — Der Rotbart schweigt; der Held im weißen Bart
Ruft: „Diesen Wunsch will freudig ich erfüllen!
Der Kaiser darf beim Feste einz'ger Art
Sein Angesicht dem Volke nicht verhüllen.
Schürt blinder Eifer auch noch manchen Brand,
Und schleppt der Wahn zum Brande dürre Reiser,
Doch stehn die Besten all' im Vaterland
Ohn' Unterschied des Glaubens um den Kaiser.“ — „Habt Dank, mein Held! Und was ich künde jetzt,
Es ist Prophetenwort und wird geschehen:
Nach tausend Jahren noch wird unverletzt
Der deutschen Einheit Kathedrale stehen!
Nach tausend Jahren wird zum Jubelfest
Des Doms ein Sproß von Eurem Stamme wallen,
Und weil sich deutsche Treu nicht brechen läßt,
Wird Gott und ihm ein Lobgesang erschallen! Des Morgenlandes Weise sprach die Gunst
Der Kirche heilig: so spricht uns und Euern
Gekrönten Bruder heilig einst die Kunst,
Und unsre Namen wird der Ruhm verteuern;
Des Doms Begründer und das Fürstenpaar,
Das ihn gefördert und zum Ziel geführet,
Als Dreigestirn sie leuchten immerdar,
So lang' ein Menschenwerk die Herzen rühret!“ — Der Schemen schwindet, und des Lämpchens Schein
Erlischt; doch hold verklärt ein strahlend Lächeln
Des Träumers Antlitz, der sich noch allein
In finstrer Höhle wähnt. — Ein frisches Fächeln
Geht draußen durch den Park; der Nebel sinkt;
Der Vögel Jubelchor die Sonne feiert;
Demantenhell der Havel Spiegel blinkt,
Und Fahrlands Forst bei Sakrow steht entschleiert."	l00130020	AGITATION#JOY
3653	Sänger und Dichter Weishaupt, Karl	"Einsam rauscht der Wasserfall
Durch die stillen Felder,
Einsam schlägt die Nachtigall
Durch die stummen Wälder;
Jubilirend, lustig leicht,
Einsam durch die Lüfte steigt
Auf der Leiter ihrer Lieder
Froh die Lerche auf und nieder."	0.0	0.0	0.0	1.0	0.0	1.0	"Sänger und Dichter
Weishaupt, Karl Einsam rauscht der Wasserfall
Durch die stillen Felder,
Einsam schlägt die Nachtigall
Durch die stummen Wälder;
Jubilirend, lustig leicht,
Einsam durch die Lüfte steigt
Auf der Leiter ihrer Lieder
Froh die Lerche auf und nieder."	l0020175	JOY#SADNESS
7092	Apoll von Belvedere Duboc, Charles Edouard [Pseud. Waldmüller, Robert]	"Mög' uns dein Bild die schöne Lehre geben,
Daß selbst der Zorn, wenn er ins Herz uns schlug,
Uns so veredeln sollte und erheben."	0.0	1.0	0.0	0.0	0.0	0.0	"Apoll von Belvedere
Duboc, Charles Edouard [Pseud. Waldmüller, Robert] Sie haben lange hin und her gedacht,
Wem nur dein sichrer Pfeil den Garaus mache —
War's im Gewühl der mörderischen Schlacht,
Da du dich hieltest zu der Troer Sache? Nahmst du, durch Hectors Fall in Zorn gebracht,
An Thetis' tapferm Sohn, Achilleus, Rache?
Verscheuchtest du die Furien der Nacht,
Du Freund des Lichts, von deinem goldnen Dache? Wer könnt' es sagen? — Nur des Mundes Zug
Ist klar verständlich, — deine Lippen beben,
Du bist im Zorn noch Gott — das sei genug! Mög' uns dein Bild die schöne Lehre geben,
Daß selbst der Zorn, wenn er ins Herz uns schlug,
Uns so veredeln sollte und erheben."	l0080601	ANGER
5533	DIE SEEFAHRER GEORG HEYM l00300241	"Nacht begann. Einer weinte im Dunkel. Wir schwammen
Trostlos mit schrägem Segel ins Weite hinaus.
Aber wir standen am Borde im Schweigen beisammen,
In das Finstre zu starren. Und das Licht ging uns aus."	0.0	0.0	0.0	1.0	0.0	1.0	"DIE SEEFAHRER Die Stirnen der Länder, rot und edel wie Kronen,
Sahen wir schwinden dahin im versinkenden Tag,
Und die rauschenden Kränze der Wälder thronen
Unter des Feuers dröhnendem Flügelschlag. Die zerflackenden Bäume mit Trauer zu schwärzen,
Brauste ein Sturm. Sie verbrannten wie Blut,
Untergehend, schon fern. Wie über sterbenden Herzen
Einmal noch hebt sich der Liebe verlodernde Glut. Aber wir trieben dahin, hinaus in den Abend der Meere.
Unsere Hände brannten wie Kerzen an.
Und wir sahen die Adern darin, und das schwere
Blut vor der Sonne, das dumpf in den Fingern zerrann. Nacht begann. Einer weinte im Dunkel. Wir schwammen
Trostlos mit schrägem Segel ins Weite hinaus.
Aber wir standen am Borde im Schweigen beisammen,
In das Finstre zu starren. Und das Licht ging uns aus."	l00300241	JOY#SADNESS
898	MÄRZABEND ERNST BLASS l0029005	MÄRZABEND	0.0	0.0	0.0	0.0	0.0	0.0	MÄRZABEND	l0029005	NONE
38	Um ein stilles Herz Knapp, Albert l00200073	"Sohn des Vaters, Herr der Ehren,
Eines wolle mir gewähren,
Eins, das mir vor Allem fehlt:
Daß aus deiner Gnadenfülle
Milde Ruhe, sanfte Stille
In das laute Herz mir quille,
Das sich stets mit Eitlem quält."	0.0	0.0	0.0	1.0	0.0	0.0	"Um ein stilles Herz
Knapp, Albert Sohn des Vaters, Herr der Ehren,
Eines wolle mir gewähren,
Eins, das mir vor Allem fehlt:
Daß aus deiner Gnadenfülle
Milde Ruhe, sanfte Stille
In das laute Herz mir quille,
Das sich stets mit Eitlem quält."	l00200073	JOY
2	Am Morgen Lingg, Hermann l0080333	"Im Lichte deiner Sterne wähnen
Die treuen Blicke wir zu schau'n,
Die uns verstehn und unsre Thränen."	0.0	0.0	0.0	1.0	0.0	1.0	"Am Morgen
Lingg, Hermann Ich sah dich im azurnen Schleier,
In deinen Rosen, Sommernacht!
Und hab' gewacht in stiller Feier. Im Lichte deiner Sterne wähnen
Die treuen Blicke wir zu schau'n,
Die uns verstehn und unsre Thränen."	l0080333	JOY#SADNESS
7829	Leben Greiner, Leo	"Was weht um mich? Man sagt: ein Menschenwort.
Was rauscht um mich? Man sagt: die alten Bäume,
die rauschen noch aus meiner Kindheit fort.
Und Gärten stehn im abendlichen Land,
ihr Schalten grüßt mich kühl und altbekannt.
Ich aber wandre dunkel fort, im Innern
ein uralt Schattenbild, das leise weint.
Die nenn’ ich Mutter, diesen nenn’ ich Freund
und lächle tief und kann mich nicht erinnern."	1.0	0.0	0.0	0.0	0.0	1.0	"Leben
Greiner, Leo Und immer fremder sind mir Tag und Räume... Was weht um mich? Man sagt: ein Menschenwort.
Was rauscht um mich? Man sagt: die alten Bäume,
die rauschen noch aus meiner Kindheit fort.
Und Gärten stehn im abendlichen Land,
ihr Schalten grüßt mich kühl und altbekannt.
Ich aber wandre dunkel fort, im Innern
ein uralt Schattenbild, das leise weint.
Die nenn’ ich Mutter, diesen nenn’ ich Freund
und lächle tief und kann mich nicht erinnern."	l00180166	AGITATION#SADNESS
3559	Sturm Lieber, Alfred von	"Wie der wolkenschwere Himmel kreist!
Langsam wandernd in die Dämmerungen
fühlen wir, zu Einer Macht verschlungen,
tief im Heidesturm den Weltengeist."	1.0	0.0	0.0	0.0	0.0	0.0	"Sturm
Lieber, Alfred von Brausend schwillt der Pappeln Regenlied;
die verhangnen Heideflächen triefen,
Sturm, du schüttelst wild in allen Tiefen,
füllst mit Zwielicht Hügelland und Ried. Wie der wolkenschwere Himmel kreist!
Langsam wandernd in die Dämmerungen
fühlen wir, zu Einer Macht verschlungen,
tief im Heidesturm den Weltengeist."	l0060053	AGITATION
