	DocName	Text	Agitation	Anger	Fear	Joy	Love	Sadness	Context	ID	label
5308	Acherontisches Frösteln Liliencron, Detlev von [alt. Liliencron, Detlev Freiherr von; Liliencron, Detlev Frhr. von]	"Schon nascht der Staar die rote Vogelbeere,
Zum Erntekranze juchheiten die Geigen,
Und warte nur, bald nimmt der Herbst die Scheere
Und schneidet sich die Blätter von den Zweigen,
Dann ängstet in den Wäldern eine Leere,
Durch kahle Äste wird ein Fluß sich zeigen,
Der schläfrig an mein Ufer treibt die Fähre,
Die mich hinüberholt ins kalte Schweigen."	0.0	0.0	0.0	1.0	0.0	1.0	"Acherontisches Frösteln
Liliencron, Detlev von [alt. Liliencron, Detlev Freiherr von; Liliencron, Detlev Frhr. von] Schon nascht der Staar die rote Vogelbeere,
Zum Erntekranze juchheiten die Geigen,
Und warte nur, bald nimmt der Herbst die Scheere
Und schneidet sich die Blätter von den Zweigen,
Dann ängstet in den Wäldern eine Leere,
Durch kahle Äste wird ein Fluß sich zeigen,
Der schläfrig an mein Ufer treibt die Fähre,
Die mich hinüberholt ins kalte Schweigen."	l00180014	JOY#SADNESS
4261	Hand in Hand Grosse, Julius [alt. Große, Julius]	"Hand in Hand
Grosse, Julius [alt. Große, Julius]"	0.0	0.0	0.0	0.0	0.0	0.0	"Hand in Hand
Grosse, Julius [alt. Große, Julius]"	l0080170	NONE
6542	Ballade Des Äusseren Lebens Hofmannsthal, Hugo von [alt. Pseudonym Loris]	"Und süße Früchte werden aus den herben
Und fallen nachts wie tote Vögel nieder
Und liegen wenig Tage und verderben."	0.0	0.0	0.0	0.0	0.0	0.0	"Ballade Des Äusseren Lebens
Hofmannsthal, Hugo von [alt. Pseudonym Loris] Und Kinder wachsen auf mit tiefen Augen,
Die von nichts wissen, wachsen auf und sterben,
Und alle Menschen gehen ihrer Wege. Und süße Früchte werden aus den herben
Und fallen nachts wie tote Vögel nieder
Und liegen wenig Tage und verderben."	l00180152	NONE
5798	OPHELIA GEORG HEYM l00300075	"Vorbei, vorbei. Da sich dem Dunkel weiht
Der westlich hohe Tag des Sommers spät,
Wo in dem Dunkelgrün der Wiesen steht
Des fernen Abends zarte Müdigkeit."	0.0	0.0	0.0	0.0	0.0	1.0	"Die blauen Lider schatten sanft herab.
Und bei der Sensen blanken Melodien
Träumt sie von eines Kusses Karmoisin
Den ewigen Traum in ihrem ewigen Grab. Vorbei, vorbei. Wo an das Ufer dröhnt
Der Schall der Städte. Wo durch Dämme zwingt
Der weiße Strom. Der Widerhall erklingt
Mit weitem Echo. Wo herunter tönt Hall voller Straßen. Glocken und Geläut.
Maschinenkreischen. Kampf. Wo westlich droht
In blinde Scheiben dumpfes Abendrot,
In dem ein Kran mit Riesenarmen dräut, Mit schwarzer Stirn, ein mächtiger Tyrann,
Ein Moloch, drum die schwarzen Knechte kien.
Last schwerer Brücken, die darüber ziehn
Wie Ketten auf dem Strom, und harter Bann. Unsichtbar schwimmt sie in der Flut Geleit,
Doch wo sie treibt, jagt weit den Menschenschwarm
Mit großem Fittich auf ein dunkler Harm,
Der schattet über beide Ufer breit. Vorbei, vorbei. Da sich dem Dunkel weiht
Der westlich hohe Tag des Sommers spät,
Wo in dem Dunkelgrün der Wiesen steht
Des fernen Abends zarte Müdigkeit."	l00300075	SADNESS
5528	Ein glücklicher Schreibfehler Beyer, Karl Friedrich Wilhelm	"Hans dankt dem Doktor Braß,
Daß er am Leben blieben,
Nicht, daß er ihm etwas,
Nein, daß er sich verschrieben."	0.0	0.0	0.0	0.0	1.0	0.0	"Ein glücklicher Schreibfehler
Beyer, Karl Friedrich Wilhelm Hans dankt dem Doktor Braß,
Daß er am Leben blieben,
Nicht, daß er ihm etwas,
Nein, daß er sich verschrieben."	l00130270	LOVE
6572	Der Fischer Nürnberger, Woldemar [Pseud. Solitaire, M.]	"Der Fischer
Nürnberger, Woldemar [Pseud. Solitaire, M.]"	0.0	0.0	0.0	0.0	0.0	0.0	"Der Fischer
Nürnberger, Woldemar [Pseud. Solitaire, M.]"	l00160278	NONE
6427	Beethoven Adler, Friedrich l0040003	"Beethoven
Adler, Friedrich"	0.0	0.0	0.0	0.0	0.0	0.0	"Beethoven
Adler, Friedrich"	l0040003	NONE
4493	Ich soll mich wieder freuen an euren Wonnen Schanz, Frida	"Ich soll mich wieder freun an euren Wonnen,
Und ich bin traurig, daß ich es nicht lerne.
Ich kann nur noch aus allertiefstem Bronnen
Ein Glück verstehen, oder eins wie Sterne,"	0.0	0.0	0.0	1.0	0.0	1.0	"Ich soll mich wieder freuen an euren Wonnen
Schanz, Frida Ich soll mich wieder freun an euren Wonnen,
Und ich bin traurig, daß ich es nicht lerne.
Ich kann nur noch aus allertiefstem Bronnen
Ein Glück verstehen, oder eins wie Sterne,"	l00140120	JOY#SADNESS
7529	Maitaufe Fischer, Johann Georg l0080131	"Sieh, Mädchen, ein Wetter zur Frühlingsnacht!
Blitze die Erde küssen;
Des Maien schwere Blüthentracht
Wird hoch sich wundern müssen.
Die Donner tönen,
Die Berge dröhnen,
Es tränkt ihr Herz die Frühlingsnacht
Mit warmen Regengüssen."	1.0	0.0	0.0	0.0	0.0	0.0	"Maitaufe
Fischer, Johann Georg Sieh, Mädchen, ein Wetter zur Frühlingsnacht!
Blitze die Erde küssen;
Des Maien schwere Blüthentracht
Wird hoch sich wundern müssen.
Die Donner tönen,
Die Berge dröhnen,
Es tränkt ihr Herz die Frühlingsnacht
Mit warmen Regengüssen."	l0080131	AGITATION
1700	Sommerschwüle Schack, Adolf Friedrich von	"Sommerschwüle
Schack, Adolf Friedrich von"	0.0	0.0	0.0	0.0	0.0	0.0	"Sommerschwüle
Schack, Adolf Friedrich von"	l00200153	NONE
