	DocName	Text	Agitation	Anger	Fear	Joy	Love	Sadness	Context	ID	label
1269	DAS BAD AUF DEM LANDE MAX BROD l0029012	"Ihr Glücklichen! — Ich sah das Liebespaar,
Das heiße Licht schien wohnlich, wenn sie lachten,
Die platte Fähre bot sich wie ein Zimmer dar,
Ein schattiges, in dem vertraut des Mädchens Miederhüften krachten."	0.0	0.0	0.0	1.0	1.0	0.0	"DAS BAD AUF DEM LANDE Ihr Glücklichen! — Ich sah das Liebespaar,
Das heiße Licht schien wohnlich, wenn sie lachten,
Die platte Fähre bot sich wie ein Zimmer dar,
Ein schattiges, in dem vertraut des Mädchens Miederhüften krachten."	l0029012	JOY#LOVE
4189	Papa Opitz: Schlaf, Johannes	"Papa Opitz:
Schlaf, Johannes"	0.0	0.0	0.0	0.0	0.0	0.0	"Papa Opitz:
Schlaf, Johannes"	l00100092	NONE
1990	Nachtigallenlied Leander, Richard	"Nachtigallenlied
Leander, Richard"	0.0	0.0	0.0	0.0	0.0	0.0	"Nachtigallenlied
Leander, Richard"	l0010130	NONE
2252	Erst seit Du mein geworden Berthold, Gustav	"Erst seit Du mein geworden,
Däucht mir das Leben werth,
Und lächelt mir aller Orten,
Zu seliger Lust verklärt."	0.0	0.0	0.0	1.0	1.0	0.0	"Erst seit Du mein geworden
Berthold, Gustav Erst seit Du mein geworden,
Däucht mir das Leben werth,
Und lächelt mir aller Orten,
Zu seliger Lust verklärt."	l0080056	JOY#LOVE
6571	Sehnsucht Weiß, Emil Rudolf	"Schmerz und Trost der Schmerzen,
bist in einem mir —
oft am langen Tage
seufz' ich ach! nach dir."	0.0	0.0	0.0	1.0	0.0	1.0	"Sehnsucht
Weiß, Emil Rudolf Oft am langen Tage
seufz' ich ach! nach dir,
fühl' ich dich mir nahe,
sprech' ich so mit dir. In der kühlen Frühe
aufgewacht zu mir,
fühl' ich, was uns trennet,
seufz' ich ach! nach dir. Seh' dein Auge schauen
liebevoll zu mir,
schaut mich an und weilet
einen Blick bei mir. Geht von mir am Tage,
kommt zurück zu mir,
wenn ich nach dir klage,
schweigend und in mir. Schmerz und Trost der Schmerzen,
bist in einem mir —
oft am langen Tage
seufz' ich ach! nach dir."	l0030432	JOY#SADNESS
5717	Schutzengel Bleibtreu, Carl [alt. Bleibtreu, Karl]	"Drei Geister nahten diese Nacht,
Die trübe sinnend ich durchwacht.
Mein innres Aug' sah Visionen.
Sie thronen nicht im Sternenzelt:
Sie sind Geschöpfe dieser Welt,
Die als Schutzengel sie bewohnen."	0.0	0.0	0.0	0.0	0.0	1.0	"Schutzengel
Bleibtreu, Carl [alt. Bleibtreu, Karl] Drei Geister nahten diese Nacht,
Die trübe sinnend ich durchwacht.
Mein innres Aug' sah Visionen.
Sie thronen nicht im Sternenzelt:
Sie sind Geschöpfe dieser Welt,
Die als Schutzengel sie bewohnen."	l0070228	SADNESS
2859	Ach, du fliehst vergebens Geibel, Emanuel	"Muth, der sturmentgegen
Neuen Pfad sich bahnt,
Demuth, die den Segen
Auch im Trübsal ahnt."	0.0	0.0	0.0	0.0	0.0	0.0	"Ach, du fliehst vergebens,
Was dich härmt und kränkt;
Keinem wird des Lebens
Bittrer Zoll geschenkt. Wenn der erste süße
Jugendleichtsinn schwand,
Bleibt dir an die Füße
Stets ein Weh gebannt. Zu den höchsten Matten,
Unter's stillste Dach
Wandelt, wie dein Schatten,
Dir die Sorge nach; Mischt zu jedem Glanze
Sich als Nebel still,
Nagt an jedem Kranze,
Der dir blühen will; Bis du, unter Schmerzen,
An durchkämpftem Tag
Dir errangst im Herzen,
Was sie bänd'gen mag: Muth, der sturmentgegen
Neuen Pfad sich bahnt,
Demuth, die den Segen
Auch im Trübsal ahnt."	l00200157	NONE
3459	Am Strande des Meeres Eckstein, Ernst	"Manchen Pfad bin sehnend ich gegangen;
Treulich hoffend wand ich mich hinan,
In die sel'gen Thäler zu gelangen
Und das Unvergängliche zu fahn.
Doch umsonst verlangte ich nach Gnade,
Doch vergeblich suchte ich das Glück:
Alle meine wechselvollen Pfade
Führten zur Natur zurück."	0.0	0.0	0.0	1.0	1.0	0.0	"Am Strande des Meeres
Eckstein, Ernst Die du fromm und liebend mich geleitet
Durch des Lebens rätselvolles Land,
Die ums Haupt den Fittich mir gebreitet,
Wenn ich bang am Scheidewege stand:
In des Himmels ungeheurer Leere
Herrlich, wie auf wonnereicher Flur:
Dich begrüß' ich gläubig auch im Meere,
Allgewalt'ge Göttin, o Natur! Wo der Brandung Lilienbrüste schwellen,
Bis die Flut den dunklen Sand betaut;
Wo ins Blau der schaumgekrönten Wellen
Nur die Möwe hoch herniederschaut:
Ach, da schwebt den lichtumwobnen Blicken
Weh und Wonne schattengleich vorbei:
Wo der Gottheit Schauer mich entzücken,
Fühl' ich wieder mich als frei! Manchen Pfad bin sehnend ich gegangen;
Treulich hoffend wand ich mich hinan,
In die sel'gen Thäler zu gelangen
Und das Unvergängliche zu fahn.
Doch umsonst verlangte ich nach Gnade,
Doch vergeblich suchte ich das Glück:
Alle meine wechselvollen Pfade
Führten zur Natur zurück."	l00130100	JOY#LOVE
3108	Der Tod der Nachtigall Schack, Adolf Friedrich Graf von [alt. Schack, Adolf Friedrich von]	"Im weichen Mondlicht vom Balkone
Wie oft dir lauscht' ich andachtsvoll,
Wenn aus der grünen Blätterkrone
Dein heilges Lied herüberscholl."	0.0	0.0	0.0	0.0	0.0	1.0	"Der Tod der Nachtigall
Schack, Adolf Friedrich Graf von [alt. Schack, Adolf Friedrich von] Du, die unsterblich, vom Geschlechte
Der Feen und Elfen ich geglaubt,
O holde Freundin meiner Nächte,
So hat der Tod dich mir geraubt! Im weichen Mondlicht vom Balkone
Wie oft dir lauscht' ich andachtsvoll,
Wenn aus der grünen Blätterkrone
Dein heilges Lied herüberscholl."	l00160242	SADNESS
3091	DER TODESENGEL JAKOB VAN HODDIS l00300074	"Posaunenschall und dunkler Donner lachen.
Ein Schleier überflog das Morgenrot.
Als sie mit ihrer zärtlichen und schwachen
Bewegung ihm den Mund zum Küssen bot."	0.0	0.0	0.0	1.0	1.0	0.0	"Die Augen weit, vor Mitleid glühend offen
Wie trostlos starrend hin zu neuer Lust,
Ein grauenvolles, nie versiegtes Hoffen,
Ein Traum von Tagen, die er nie gewußt.
Er kommt aus einer Höhle, wo ein Knabe
Ihn als Geliebte wunderzart umfing.
Er flog durch seinen Traum als Schmetterling
Und ließ ihn Meere sehn als Morgengabe. Und Lüfte Indiens, wo an Fiebertagen
Das greise Meer in gelbe Buchten rennt.
Die Tempel, wo die Priester Cymbeln schlagen,
Um Öfen tanzend, wo ein Mädchen brennt. Sie schluchzt nur leise, denn der Schar Gesinge
Zeigt ihr den Götzen, der auf Wolken thront
Und Totenschädel trägt als Schenkelringe,
Der Flammenqual mit schwarzen Küssen lohnt. Betrunkne tanzen nackend zwischen Degen,
Und einer stößt sich in die Brust und fällt.
Und während blutig sich die Schenkel regen,
Versinkt dem Knaben Tempel, Traum und Welt.
Dann flog er hin zu einem alten Manne
Und kam ans Bett als grüner Papagei.
Und krächzt das Lied: «O schmähliche Susanne!»
Die längst vergeßne Jugendlitanei. Der stiert ihn an. Aus Augen glasig blöde
Blitzt noch ein Strahl. Ein letztes böses Lächeln
Zuckt um das zahnlose Maul. Des Zimmers Öde
Erschüttert jäh ein lautes Todesröcheln.
Die Braut friert leise unterm leichten Kleide.
Der Engel schweigt. Die Lüfte ziehn wie krank.
Er stürzt auf seine Knie. Nun zittern beide.
Vom Strahl der Liebe, der aus Himmeln drang. Posaunenschall und dunkler Donner lachen.
Ein Schleier überflog das Morgenrot.
Als sie mit ihrer zärtlichen und schwachen
Bewegung ihm den Mund zum Küssen bot."	l00300074	JOY#LOVE
4498	Die Mittelmässigen Seidel, Heinrich	"Die Musik ist heutzutage
Wohl der Menschheit grösste Plage:
Schauervolles wird erreicht,
Wenn der Mensch die Geige streicht
Oder um die Abendröte
Zwecklos bläst auf einer Flöte;
Und ich hege die Vermutung,
Dass auch der Posaune Tutung
Manchem wohl bei Tag und Nacht
Keine grosse Freude macht.
Dieser schlägt mit viel Gebimbel
Grausamlich das Klavezimbel,
Jener aber, gnadenlos,
Kneift das Cello — Gott ist gross!
Seine Langmut ist unendlich,
Treibts der Mensch auch noch so schändlich!"	0.0	1.0	0.0	0.0	0.0	0.0	"Die Mittelmässigen
Seidel, Heinrich Die Musik ist heutzutage
Wohl der Menschheit grösste Plage:
Schauervolles wird erreicht,
Wenn der Mensch die Geige streicht
Oder um die Abendröte
Zwecklos bläst auf einer Flöte;
Und ich hege die Vermutung,
Dass auch der Posaune Tutung
Manchem wohl bei Tag und Nacht
Keine grosse Freude macht.
Dieser schlägt mit viel Gebimbel
Grausamlich das Klavezimbel,
Jener aber, gnadenlos,
Kneift das Cello — Gott ist gross!
Seine Langmut ist unendlich,
Treibts der Mensch auch noch so schändlich!"	l0050011	ANGER
4438	Pierrot Schaukal, Richard l0090071	"Das ist der alte Vollmondträumer nicht,
Der unsern Vätern durch die Thüre lachte.
Tot ist sein Witz, das Licht, das er uns brachte.
Heute schreckt uns sein Gespenst, so bleich und licht."	0.0	0.0	1.0	1.0	0.0	0.0	"Pierrot
Schaukal, Richard Das ist der alte Vollmondträumer nicht,
Der unsern Vätern durch die Thüre lachte.
Tot ist sein Witz, das Licht, das er uns brachte.
Heute schreckt uns sein Gespenst, so bleich und licht."	l0090071	FEAR#JOY
5700	Heidemoor Schleker, Klara	"Denn ihr Hauch löscht aus alle Jugendkraft,
Daß jäh deine Lippe das Lachen vergißt,
Daß stumm du dich beugst in des Grames Haft,
Bis Liebe, Hoffen und Leidenschaft
So welk und tot wie die Heide ist."	0.0	0.0	0.0	1.0	1.0	1.0	"Heidemoor
Schleker, Klara Öd ist es und wüst ist es rings umher,
Öd ist es und fahl in der Heide Gebiet,
Wo moorige Rinnsale langsam und schwer
Die Wasser schleppen hinunter ins Meer,
Die verkrüppeltes Zwergholz am Ufer umkniet. O trauriges Land voll Nebelgequalm,
Das selten die Sonne in Himmelsblau schaut!
Gespenstisch im Rohre rauscht Halm an Halm,
Wenn die Frösche beginnen den Abendpsalm,
Wenn der Dunst um Heide und Ginster braut. Das ist im Lande die böse Stund,
Da hebt sich empor, was Ruhe nicht fand,
Da sucht nach Worten der Toten Mund,
Zu tun ihr Leid den Lebendigen kund —
Und wehe jeglichem, der sie verstand! Denn ihr Hauch löscht aus alle Jugendkraft,
Daß jäh deine Lippe das Lachen vergißt,
Daß stumm du dich beugst in des Grames Haft,
Bis Liebe, Hoffen und Leidenschaft
So welk und tot wie die Heide ist."	l00140102	JOY#LOVE#SADNESS
6769	Der Abenteurer Hartleben, Otto Erich [alt. Hartleben, O. Erich; Hartleben, Erich]	"Der Huftritt meines Rosses klingt an morsch Gebein,
An Menschenschädel — mich zu schrecken sind sie wohl
Vom Schicksal auf des Reiches Schwelle ausgestreut?
Zerstampfe sie, mein Schwarzer, stampfe über sie hinweg:
Sie waren nicht, der ich bin — darum fielen sie."	0.0	0.0	1.0	0.0	0.0	0.0	"Der Abenteurer
Hartleben, Otto Erich Hier ist das Land. So rudert denn den Kahn zurück
Und meldet den Gefährten: Ich betrat mein Reich,
Als Fürsten sehen sie mich wieder, oder nie. —
Was steht ihr noch und zaudert? Laßt mich nun allein,
Allein mit meinem guten Schwert und meinem Roß —
Nun werb' ich in der Fremde mir die eigene Schar. —
Lebt wohl! — dem wandelbaren Meere kehr' ich heut'
Den Rücken zu — mein Auge sucht die Burgen auf,
In deren Mauern sich der Feige sicher fühlt.
Mein Auge sucht am Horizonte seinen Feind. — Der Huftritt meines Rosses klingt an morsch Gebein,
An Menschenschädel — mich zu schrecken sind sie wohl
Vom Schicksal auf des Reiches Schwelle ausgestreut?
Zerstampfe sie, mein Schwarzer, stampfe über sie hinweg:
Sie waren nicht, der ich bin — darum fielen sie."	l0030164	FEAR
6400	Ganz im Geheimen Königsbrunn-Schaup, Franz von [alt. Königsbrun-Schaup; Königsbrunn-Schaup]	"Stehn vor den Leuten wir,
Sprichst du kein Wort zu mir,
Bleibst ach so stolz und fern
Und hast mich doch so gern —
Ganz im Geheimen."	0.0	0.0	0.0	1.0	1.0	0.0	"Ganz im Geheimen
Königsbrunn-Schaup, Franz von [alt. Königsbrun-Schaup; Königsbrunn-Schaup] Stehn vor den Leuten wir,
Sprichst du kein Wort zu mir,
Bleibst ach so stolz und fern
Und hast mich doch so gern —
Ganz im Geheimen."	l0010125	JOY#LOVE
